Fruta,Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
Verde,HSV,18,257583,0.9246000008715782,1081.5487768303544,23.7
Verde,YCbCr,18,20245,2.087500000925502,479.0419159552794,37.7
Verde,LAB,18,40711,1.0241999989375472,976.3718033951855,32.6
Naranja,RGB,18,219856,1.391699999658158,718.545663753416,33.0
Naranja,HSV,18,33202,2.125899998645764,470.38901201233256,33.9
Naranja,YCbCr,18,19441,1.0580999987723771,945.0902572159667,24.7
Naranja,LAB,18,246375,1.0550999977567699,947.7774638670106,26.6
Amarillo,RGB,18,258783,2.1183999997447245,472.054380721537,29.9
Amarillo,HSV,18,4438,1.0828000013134442,923.531583659949,24.7
Amarillo,YCbCr,18,289355,0.892699998075841,1120.197157113742,28.4
Amarillo,LAB,18,232698,1.963300001079915,509.3465081495182,37.3
Rojo,RGB,19,263711,0.886099998751888,1128.5407983394032,23.6
Rojo,HSV,19,6155,1.9734000015887432,506.7396367664543,28.0
Rojo,YCbCr,19,289855,1.7067999979190063,585.8917279231526,34.0
Rojo,LAB,19,228713,0.702500001352746,1423.4875417428937,56.5
Verde,RGB,19,30750,1.4597000008507166,685.0722747257639,30.9
Verde,HSV,19,259532,1.6451000010420103,607.865782850038,23.6
Verde,YCbCr,19,23721,0.9787999988475349,1021.6591757023157,30.9
Verde,LAB,19,43008,1.9224999996367842,520.1560469123167,32.8
Naranja,RGB,19,256901,2.1864999980607536,457.35193271754775,25.0
Naranja,HSV,19,31905,1.1312999995425344,883.9388317903047,31.1
Naranja,YCbCr,19,16986,0.7363000004261266,1358.1420608736378,28.2
Naranja,LAB,19,276036,2.950099998997757,338.9715604012514,30.6
Amarillo,RGB,19,263711,0.7021000019449275,1424.2985290269798,31.6
Amarillo,HSV,19,6155,0.8239999988290947,1213.5922347342253,27.2
Amarillo,YCbCr,19,289855,0.9178000000247266,1089.5619960482227,24.9
Amarillo,LAB,19,228713,1.1174999999639113,894.8545861586525,31.9
Rojo,RGB,20,269331,0.9068999970622826,1102.6574079163038,31.0
Rojo,HSV,20,5959,1.4842999989923555,673.7182514847864,36.5
Rojo,YCbCr,20,290209,0.957899999775691,1043.9503082098001,37.4
Rojo,LAB,20,246762,1.0027999996964354,997.2078184111657,26.9
Verde,RGB,20,30244,1.5518000000156462,644.4129398053341,51.6
Verde,HSV,20,255982,1.6036000015446916,623.5969063586524,28.4
Verde,YCbCr,20,21472,0.7289999994100071,1371.7421135930288,31.6
Verde,LAB,20,36738,0.7966000011947472,1255.3351726088274,30.7
Naranja,RGB,20,228195,1.0495000024093315,952.8346809950503,24.9
Naranja,HSV,20,32431,0.9902000019792467,1009.8969884883505,34.6
Naranja,YCbCr,20,19063,1.3058000004093628,765.8140601060685,26.5
Naranja,LAB,20,251974,1.32119999761926,756.8876792324801,23.7
Amarillo,RGB,20,269331,1.0772999994514976,928.2465427542426,33.5
Amarillo,HSV,20,5959,1.1035999996238388,906.1254080652856,25.0
Amarillo,YCbCr,20,290209,0.7512999982282054,1331.026224355524,39.0
Amarillo,LAB,20,246762,1.0973999997077044,911.2447605853406,26.1
Rojo,RGB,21,257878,0.8377999984077178,1193.6022939849029,27.5
Rojo,HSV,21,6915,2.3049000010360032,433.85830168359644,32.5
Rojo,YCbCr,21,290505,0.9480000007897615,1054.8523197963273,34.4
Rojo,LAB,21,232720,1.8608000027597882,537.4032666148328,32.2
Verde,RGB,21,30484,1.506700002209982,663.7021295103407,38.2
Verde,HSV,21,253655,1.924799998960225,519.5344973712588,46.2
Verde,YCbCr,21,24348,0.9266999986721203,1079.0978757234404,35.6
Verde,LAB,21,45607,1.168300001154421,855.9445339483692,31.8
Naranja,RGB,21,236780,0.7289999994100071,1371.7421135930288,31.0
Naranja,HSV,21,32589,1.0029999975813553,997.0089754849556,43.6
Naranja,YCbCr,21,18604,1.2227999977767467,817.7952255627788,35.8
Naranja,LAB,21,252214,0.7781999993312638,1285.0167063214303,31.5
Amarillo,RGB,21,257878,0.8844000003591646,1130.7100854747728,40.2
Amarillo,HSV,21,6915,1.6151999989233445,619.118375846073,28.6
Amarillo,YCbCr,21,290505,1.2742999970214441,784.7445674781492,28.8
Amarillo,LAB,21,232720,0.9038999996846542,1106.317070858361,33.1
Rojo,RGB,22,248027,1.7985000013140962,556.0189042364958,34.2
Rojo,HSV,22,3855,1.3390999993134756,746.7702191865253,62.4
Rojo,YCbCr,22,289178,0.7136999993235804,1401.148943460508,54.0
Rojo,LAB,22,210421,1.7508999990241136,571.1348452552188,29.6
Verde,RGB,22,31116,0.8558000008633826,1168.497311277331,40.9
Verde,HSV,22,262974,1.2233000015839934,817.4609651803705,44.3
Verde,YCbCr,22,23922,2.4459000014758203,408.84745876634963,51.5
Verde,LAB,22,50631,1.3247999995655846,754.8309181219129,30.5
Naranja,RGB,22,260066,1.4478999983111862,690.6554328105452,35.9
Naranja,HSV,22,32282,1.586399997904664,630.3580442012178,36.1
Naranja,YCbCr,22,16517,1.008499999443302,991.5716415984194,37.0
Naranja,LAB,22,282482,1.5630000016244594,639.7952648500823,22.6
Amarillo,RGB,22,248027,1.7307999987679068,577.7675067667341,23.1
Amarillo,HSV,22,3855,1.143400000728434,874.5845717709664,29.8
Amarillo,YCbCr,22,289178,0.9145999974862207,1093.3741556401721,31.4
Amarillo,LAB,22,210421,1.3304000021889806,751.6536367668707,40.8
Rojo,RGB,23,275477,0.9867000007943716,1013.4792735329086,30.5
Rojo,HSV,23,43594,1.1167999982717447,895.4154741650309,32.6
Rojo,YCbCr,23,290263,1.3767999989795499,726.3219064070129,32.4
Rojo,LAB,23,260815,1.015699999697972,984.5426802179378,46.4
Verde,RGB,23,30452,0.8475000031467061,1179.940998568817,47.5
Verde,HSV,23,220319,1.3240000007499475,755.2870086356302,52.0
Verde,YCbCr,23,17274,1.6428000017185695,608.716824296249,26.6
Verde,LAB,23,21669,0.9796000013011508,1020.824825103872,41.4
Naranja,RGB,23,215294,1.440200001525227,694.3480064858782,49.0
Naranja,HSV,23,32814,1.3662999990629032,731.9036819775047,45.3
Naranja,YCbCr,23,18414,1.6952000005403534,589.9008964613291,43.8
Naranja,LAB,23,252923,1.1687000005622394,855.6515782655249,28.2
Amarillo,RGB,23,275477,2.1377000011852942,467.792486993277,42.9
Amarillo,HSV,23,43594,1.1384999997972045,878.348704592117,20.5
Amarillo,YCbCr,23,290263,2.042500000243308,489.5960831730122,35.4
Amarillo,LAB,23,260815,1.0705999993660953,934.0556702709716,49.7
Rojo,RGB,24,246047,1.4160000027914066,706.2146878733529,44.6
Rojo,HSV,24,6552,1.974099999642931,506.5599514618697,34.4
Rojo,YCbCr,24,288713,1.349300000583753,741.1250274715527,27.1
Rojo,LAB,24,201036,0.9004999992612284,1110.494170816659,28.0
Verde,RGB,24,31472,1.0116000012203585,988.5330158102365,29.4
