Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
HSV,48,15067,1.7393999987689313,574.91088921913,0.0
HSV,49,15125,1.5316000008169794,652.9119871158164,0.0
HSV,50,13039,2.213100000517443,451.8548641119655,100.0
HSV,51,16033,2.248999999210355,444.642063295291,0.0
HSV,52,15966,1.7024000007950235,587.4060147632745,0.0
HSV,53,15944,1.4062000009289477,711.1363954909625,0.0
HSV,54,15677,1.78070000038133,561.5769078372853,0.0
HSV,55,15899,1.6883999996935017,592.2767117872138,0.0
HSV,56,15616,1.6095999999379274,621.2723658291277,0.0
HSV,57,15599,1.6804000006231945,595.0964053970122,0.0
HSV,58,15689,1.962999998795567,509.4243507965193,33.3
HSV,59,15486,2.147700000932673,465.6143779697975,50.0
HSV,60,16094,1.969999999346328,507.6142133664026,0.0
HSV,61,16275,1.3371999993978534,747.8312895978942,0.0
HSV,62,16211,1.8665999996301252,535.7334191568383,0.0
HSV,63,16312,1.49280000005092,669.882100727418,0.0
HSV,64,16130,1.5101999997568782,662.1639519010638,0.0
HSV,65,16173,1.644500000111293,608.0875645681508,0.0
HSV,66,15754,2.0089999998162966,497.76007968712804,50.0
HSV,67,15779,2.1647000012308126,461.95777679651525,50.0
